ID,String,Draw,Pick,Creator,V1,V2,Watermark,White
1157,____ would be woefully incomplete without ____.,0,2,NULL,f,f,X2,FALSE
90,_____ + _____ = _____.,2,3,NULL,t,t,NULL,FALSE
80,_____ is a slippery slope that leads to _____.,0,2,NULL,t,t,NULL,FALSE
72,_____: Good to the last drop.,0,1,NULL,t,t,NULL,FALSE
74,"_____: kid-tested, mother-approved.",0,1,NULL,t,t,NULL,FALSE
5,_____? There's an app for that.,0,1,NULL,t,t,NULL,FALSE
30,_____. Betcha can't have just one!,0,1,NULL,t,t,NULL,FALSE
32,"_____. High five, bro.",0,1,NULL,t,t,NULL,FALSE
51,_____. It's a trap!,0,1,NULL,t,t,NULL,FALSE
20,_____. That's how I want to die.,0,1,NULL,t,t,NULL,FALSE
21,____: Hours of fun. Easy to use. Perfect for ____!,0,2,NULL,f,f,X3,FALSE
22,"____. Awesome in theory, kind of a mess in practice.",0,1,NULL,f,f,X3,FALSE
328,(I am doing Kegels right now.),,,NULL,t,f,1.1,TRUE
261,72 virgins.,,,NULL,t,t,NULL,TRUE
323,8 oz. of sweet Mexican black-tar heroin.,,,NULL,t,t,NULL,TRUE
1237,A 55-gallon drum of lube.,,,NULL,f,f,X2,TRUE
294,A bag of magic beans.,,,NULL,t,t,NULL,TRUE
16,A balanced breakfast.,,,NULL,t,t,NULL,TRUE
1067,A beached whale.,,,NULL,f,f,X1,TRUE
1066,A big black dick.,,,NULL,f,f,X1,TRUE
450,A big hoopla about nothing.,,,NULL,t,t,NULL,TRUE
1181,"A bigger, blacker dick.",,,NULL,f,f,X2,TRUE
1034,A bitch slap.,,,NULL,f,f,B,TRUE
1365,"A black male in his early 20s, last seen wearing a hoodie.",,,NULL,f,f,X3,TRUE
32,A bleached asshole.,,,NULL,t,t,NULL,TRUE
1068,A bloody pacifier.,,,NULL,f,f,X1,TRUE
1329,A boo-boo.,,,NULL,f,f,X3,TRUE
472,A Bop It™.,,,NULL,f,t,1.2,TRUE
473,A botched circumcision.,,,NULL,f,f,X3,TRUE
317,A brain tumor.,,,NULL,t,t,NULL,TRUE
1254,A Burmese tiger pit.,,,NULL,f,f,X2,TRUE
170,A can of whoop-ass.,,,NULL,t,t,NULL,TRUE
9,"A cartoon camel enjoying the smooth, refreshing taste of a cigarette.",,,NULL,t,f,1.1,TRUE
1313,A cat video so cute that your eyes roll back and your spine slides out of your anus.,,,NULL,f,f,X3,TRUE
89,A clandestine butt scratch.,,,NULL,t,t,NULL,TRUE
185,A cooler full of organs.,,,NULL,t,t,NULL,TRUE
1315,A cop who is also a dog.,,,NULL,f,f,X3,TRUE
1069,A crappy little hand.,,,NULL,f,f,X1,TRUE
